application_id,created_at,branch_id,team_id,status
6bda4f8a-e4dd-44ec-84a1-3b6cd106e26b,2025-08-27,1,4,In Progress
353e2584-cdb4-4f2d-98d8-f6b96f0f13af,2025-05-16,3,3,In Progress
f625c594-8541-4f58-b562-30a83aa4ff3b,2025-08-19,5,2,Rejected
a8d70927-fd98-4726-915b-221e902ebdfd,2025-02-26,1,3,Rejected
ca40fd30-fb7e-49ea-acad-d4f2803a1469,2025-06-23,1,4,Approved
5eb1f1d9-c8ef-4bab-b1b4-88edf76ee7dc,2025-05-22,5,5,Approved
724cd920-b799-4ed2-b06b-c6b6fe09ad0d,2025-10-12,4,2,Approved
d9577385-1867-4cfa-b6f3-391d161f4c00,2025-07-26,3,4,Approved
8170168e-88d5-415b-8df7-76c365ef4c3a,2025-01-22,2,5,Approved
32783f11-003c-41d6-9f33-f4ff129c4a40,2025-03-02,5,2,Approved
5af2371e-34b3-480d-8a13-5cd28b48accd,2025-06-12,4,3,Approved
8fe87fb1-ec6f-4151-a74a-5250217d29a4,2025-09-13,5,3,Approved
5efa2a94-35b0-4c17-ae2d-3ab56ad7e45d,2025-06-16,5,1,Approved
922b1063-d916-4db6-98e9-2f5f344524af,2025-08-17,3,2,Approved
6991d22a-2020-4d80-a717-204194d84a38,2025-02-07,1,4,Approved
5f49bb8b-8bd8-4ccc-8fd3-61d0176e2706,2025-06-26,5,3,Rejected
14bd7be3-5b7a-4247-90d1-822668cc17ec,2025-05-02,2,5,Approved
8ae4bda0-d5c6-46fd-a55a-52ba06061a3d,2025-09-03,1,4,Approved
c8f75998-71e1-4cf0-9643-430d7134e785,2025-07-22,1,1,Approved
ebb24b8f-783a-4277-9f86-d301878090c1,2025-12-08,2,5,Approved
46694740-8ce8-4ed9-9593-0a1121951843,2025-07-09,5,1,Approved
405e9bcf-d710-40f5-8847-b3ab0b8b5dde,2025-03-29,5,5,Approved
d98cd1c5-6f62-4702-ab0c-a8929b952650,2025-10-11,2,5,In Progress
6b8fafb0-e559-4521-aacf-2123299abe2d,2025-12-05,2,3,Approved
121536ff-ead8-4c0e-867b-661a372ee445,2025-01-30,3,5,Approved
0b153e3a-6c0d-46d5-9a44-2a29a3d7dbef,2025-02-24,3,3,Approved
91e740dd-9fd2-4d12-aaa6-be6fca0ec050,2025-08-20,3,3,Approved
370c09f2-ffab-4b06-bc49-bc78c51471a0,2025-10-02,5,5,Approved
b203c1a5-622c-4441-8bac-9b9176c6ac66,2025-12-30,2,2,In Progress
8ee84ef8-62c9-44de-9e62-4a543eabd60a,2025-12-03,1,5,Approved
89e68408-8a17-4a91-ab67-81071a9440f4,2025-09-06,3,3,Approved
b9132cbb-a1f4-427a-8941-6bf520c8adb6,2025-08-23,2,2,Approved
186a1148-e56e-4de9-af04-266a5b07860e,2025-09-09,3,5,In Progress
c023f37f-85cc-4a5c-a61f-bddbcb2c3310,2025-10-29,4,1,Approved
d68d8a54-8ae0-4c45-a749-b3957da2fb43,2025-03-02,3,3,Approved
6d012f22-9c79-480f-956e-21e1afdface8,2025-09-02,4,5,Approved
3f0b2630-1956-40c7-96e7-59e968d54a96,2025-01-27,4,4,Rejected
bd43f9e7-4b93-4954-8573-1d976b6ca738,2025-07-31,4,4,In Progress
34955ab2-1e11-4d92-abc6-7a9e309fbf04,2025-02-02,5,5,Approved
6fd8c9dc-e69d-4e38-a251-d3e9879c465a,2025-09-23,4,3,Rejected
63fa6f70-f46d-471e-98a6-3acc6c78d1bc,2025-09-24,3,4,Rejected
f81b24ed-33c6-42d7-9916-de759897b22d,2025-04-25,3,2,Approved
e52337a5-8bea-4528-96b7-613e42eee330,2025-08-12,2,4,Approved
c92ef670-7287-4d4e-b4b5-1a9d7fc9da43,2025-06-24,1,1,Rejected
938d55b3-2128-4e45-b285-bd8ed15f77c6,2025-07-08,1,2,Rejected
f4e63960-8152-4a70-bce0-3f298066e840,2025-01-09,4,5,Rejected
e1197bed-bc43-4b68-bedc-478ccbf7db66,2025-01-06,5,1,Rejected
