event_id,application_id,event_type,stage,event_timestamp,team_id,branch_id,status
e027ef88-cb21-41a3-8714-dc382e4c8f9e,6bda4f8a-e4dd-44ec-84a1-3b6cd106e26b,Started,Application Submitted,2025-08-27 00:00:00,1,1,Started
fdc69ffe-6344-4e34-8624-99d9c3f487a4,6bda4f8a-e4dd-44ec-84a1-3b6cd106e26b,Completed,Application Submitted,2025-08-27 07:00:00,1,1,Completed
cc3510d5-3fb9-4714-a31b-2820adbc8843,6bda4f8a-e4dd-44ec-84a1-3b6cd106e26b,Started,Document Verification,2025-08-27 09:00:00,2,1,Started
921dee1f-9d78-4918-8a81-b41ae3b57572,6bda4f8a-e4dd-44ec-84a1-3b6cd106e26b,Completed,Document Verification,2025-08-29 02:00:00,2,1,Completed
db92c35f-7417-451d-9556-967039244b18,6bda4f8a-e4dd-44ec-84a1-3b6cd106e26b,Started,Credit Assessment,2025-08-30 01:00:00,3,1,Started
c3a921fd-9b1b-41cc-a830-5c56cb52e848,6bda4f8a-e4dd-44ec-84a1-3b6cd106e26b,Completed,Credit Assessment,2025-08-30 12:00:00,3,1,Completed
fa4cf892-1ac5-4f79-b9bb-d9d81bf5bf17,6bda4f8a-e4dd-44ec-84a1-3b6cd106e26b,Started,Approval,2025-08-31 02:00:00,4,1,Started
49e0f89a-eb4d-48c5-98c2-789d4a1edbf4,6bda4f8a-e4dd-44ec-84a1-3b6cd106e26b,Completed,Approval,2025-08-31 10:00:00,4,1,Completed
73014984-a769-4993-980c-5229d243ab44,6bda4f8a-e4dd-44ec-84a1-3b6cd106e26b,Started,Disbursement,2025-08-31 13:00:00,5,1,Started
aa68064c-cd74-4c79-a9e9-1041f8be3a10,6bda4f8a-e4dd-44ec-84a1-3b6cd106e26b,Completed,Disbursement,2025-08-31 23:00:00,5,1,Completed
3316037d-50ef-4f61-824e-e9f543eb5758,353e2584-cdb4-4f2d-98d8-f6b96f0f13af,Started,Application Submitted,2025-05-16 00:00:00,1,3,Started
3ae3200c-8749-4134-9acf-3a57164f438c,353e2584-cdb4-4f2d-98d8-f6b96f0f13af,Completed,Application Submitted,2025-05-16 10:00:00,1,3,Completed
c0f65702-edff-4096-a289-8ec4724bb080,353e2584-cdb4-4f2d-98d8-f6b96f0f13af,Started,Document Verification,2025-05-16 17:00:00,2,3,Started
59260946-3674-4f34-a9de-fdfde8f7fe60,353e2584-cdb4-4f2d-98d8-f6b96f0f13af,Completed,Document Verification,2025-05-17 02:00:00,2,3,Completed
13b1763a-f8b0-4b15-9469-6c88533d0b10,353e2584-cdb4-4f2d-98d8-f6b96f0f13af,Started,Credit Assessment,2025-05-17 22:00:00,3,3,Started
3a336d75-29e8-4f67-b880-4c1871e9b650,353e2584-cdb4-4f2d-98d8-f6b96f0f13af,Completed,Credit Assessment,2025-05-18 07:00:00,3,3,Completed
c6b81a3d-f445-4312-a17d-4da40b4bc44d,353e2584-cdb4-4f2d-98d8-f6b96f0f13af,Started,Approval,2025-05-18 12:00:00,4,3,Started
753e5d41-164d-4590-b637-5c11dbe0e5c9,353e2584-cdb4-4f2d-98d8-f6b96f0f13af,Completed,Approval,2025-05-18 23:00:00,4,3,Completed
